begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
2374;12.5,159.25;17,64.25;34.5,252.5;43.5,315.25;2,15;17.75,251.75;20.75,66;27.75,167.75
1196;12.5,159.75;39.25,47.5;39.25,256.75;43.5,315.25;2,15;4,231;14,64.75;24.5,135.25
1482;12.5,159.75;29.75,78.5;38.75,255.5;61,325;1.5,27.25;21,211.25;24,50.5;24.5,135.25
9995;12.5,159.75;28,94.25;53.75,250.5;61,325;1.5,27.25;21,211.25;33.5,51.75;44.75,153.5
3723;12.5,159.75;30,79;30.75,252.25;45.75,307;0.75,28;20.5,199.75;33.5,51.75;44.75,155.75
479;15.5,159.5;29.75,49.75;45.5,255.5;45.75,307;10.75,7.25;20.25,201.25;33.5,51.75;43.75,154
10722;13.5,124.5;42,18.5;45.5,255.5;45.75,307;10.75,7.25;12.75,234;30,87.75;43.75,154
5858;16,123.5;33,31.25;34.5,252.5;45.75,307;10.75,7.25;22,238;39,119;43.75,154
10786;10.75,107.5;33,31.25;34.5,252.5;45.75,307;16.25,30.5;22,238;33.5,142.5;43.25,161.75
1529;10.75,107.5;13,18.25;55.5,276.5;60,326.5;15.25,11.75;26.5,217.5;33.5,142.5;38.75,161.75
4750;10.75,107.5;13,34;20.75,252.5;29,311.25;18.25,12.5;31,210.25;33.5,142.5;42.5,190.75
5994;3,122;13,34;14.75,259.25;66.75,298.25;13,52;26.25,205.75;33.5,142.5;40.75,196.25
3476;3,122;13,34;14.25,264.25;40,304.75;15.75,11.25;15.75,168.75;23,179.5;26.25,206.25
3567;3,122;7.25,34;51,276;64.75,284.75;11,42.75;12,172.25;23,179.5;31.25,230
5208;2,123.5;22.25,48.5;29,304;40.25,302.25;2,77.25;12,172.25;23,179.5;47,233.75
4769;2,123.5;16.5,50.5;22.25,313;47.25,289.75;2.25,76.25;9.5,204;46.5,144.25;47,233.75
2008;2,123.5;6.5,51.75;6.5,314.5;29.5,268.75;2.25,76.25;5,232.25;37.5,114.5;38.5,229.75
2953;16.5,120.5;18.75,71.5;21,303.5;29.5,268.75;4.25,48.25;5,232.25;36.5,86.5;36.5,229.75
10836;13.25,149.75;18.75,71.5;24.5,310.5;29.5,268.75;17,47.5;21.25,210.5;36.5,78;60,233.25
10574;12.5,150;27.25,71.25;38.75,306.25;50,256.5;17,47.5;29.5,229.75;36.5,78;57,207.5
5760;26,164;27.25,73.25;38.75,306.25;39.5,255.75;5.5,59.25;29.5,229.75;40.75,57.25;50,196.75
2921;10.5,176;27.25,73.25;38.75,306.25;45,228.25;5,33.75;21.75,230.25;40.75,57.25;57.75,206
2638;14.25,201;23.25,94.5;38.75,313;54.75,201.5;10.5,7.25;21.75,230.25;23.5,54.5;57.75,206
5934;14.25,201;25.75,100.75;32.25,305.5;58.75,175.25;2,14.75;4.25,230;9,55.25;57.75,206
51;22.5,205.75;24.25,118;32.25,305.5;56.5,148.5;0.75,14.25;4.25,230;7.5,50.25;26,199.75
8937;20.5,204.5;26.75,131.75;29.75,305;56.5,148.5;0.75,14.25;5.5,197.5;7.5,50.25;20.5,232.25
2913;15,165;17,149.25;23.25,309.75;64.25,107.75;0.75,14.25;5.5,197.5;8.75,49;14.25,234.25
4636;13.5,131.75;16,164;23.25,309.75;63.75,101.5;1.75,3.25;5.5,197.5;18,58.25;47.25,227.25
4868;9.5,126.5;9.5,177;23.25,309.75;44,86.75;3,25;5.5,197.5;25.5,65.25;46.75,235.5
9726;9.5,126.5;28.5,175.5;43.75,314.5;61.5,57.25;0.75,25.25;5.5,197.5;22.5,59.5;35.75,224.25
3398;28.25,125.5;28.5,175.5;34.25,287.75;40.25,69.5;0.75,25.25;7.5,197.25;30.5,87.5;35.75,224.25
2700;7,127;12.25,166;32,255;39.5,73.5;0.75,25.25;6.5,198;30.5,87.5;35.75,224.25
7213;7,127;35.75,153.25;47,238.25;49,51;0.75,25.25;6.5,198;7.75,103.25;21.5,222.5
3996;12,144.25;30.5,117.25;47,238.25;56,41.75;5.25,7.5;6.5,198;7,103;35,212.75
608;13,119;20.75,107;38,253.25;58.5,46;5.25,7.5;5.5,195.75;7,103;30.25,234.5
10919;13,119;20.75,107;33,255;58.5,46;2,18;3.25,173.25;20.5,125;25.25,210.75
9830;13,119;25,112.75;47.75,251.75;60.25,64;2,18;8,159.75;20.5,125;39.5,229.75
3919;11.5,116.75;31.75,113.75;53.25,256;58.25,79.75;5.75,32.75;8,159.75;20.5,125;51.5,231.25
725;12,116.75;23.25,115.5;28.75,270;45.5,52.75;1,60;8,159.75;20.5,125;46,233.25
751;14,133.75;23.25,115.5;28.75,270;45.5,52.75;4.75,65;19,155.5;19.25,129.5;37,264
4576;2.25,129;3,129.75;31.25,253.5;42.75,19.25;2,59.25;2.5,184;19.25,129.5;37,264
9946;2.25,129;20.25,138.25;42.25,276.5;60.75,57;2,58.75;2.5,184;6.5,101.5;57.25,294.25
6785;25.5,113.25;30.25,112.75;30.5,303.75;60.75,57;2,59.25;3.75,196.75;6.5,101.5;48.75,310.5
1372;24.25,101.5;26.25,80;40,343.25;57.25,74.25;2,58.75;3.75,196.75;6.5,101.5;44.75,311.25
