begin;0,0;0,324.25;274,0;274,324.25;0,0;0,324.25;274,0;274,324.25
23813;75.75,60;129,147;150.75,212;256.75,319.25;67.25,199.75;99.75,270.5;226.25,9.25;228,142.25
20630;96.25,44.75;135.5,113;161.5,205.75;257,318.75;29,214.5;99.75,270.5;218.75,14.75;228,142.25
20351;96.25,44.75;137.5,120.25;154,206;256.25,319.5;29,214.5;80,271.75;188.75,41.5;232,176.5
2160;96.25,44.75;129,98.75;145,179.75;236.75,300.25;27.25,215.5;80.25,272.25;188.75,41.5;245.25,186
3296;96.25,44.75;117.25,74.25;132,174.75;266.75,308;26,202.75;81,272.25;153,47.75;245.25,186
38550;96.75,55;126,105.5;155,204;266.75,308;25.5,203;81,272.25;153,47.75;256.75,223.5
7289;104.25,82.25;154.5,119.75;184.5,203.25;266.75,308;49,234.75;67.25,308;153,47.75;256,224
37072;102.5,83.25;154.5,119.75;156,203.5;266.5,303.25;49,234.75;98.25,311.25;107.5,46.5;248.25,224.75
16125;87.5,59.75;135.5,92;143.5,173.25;262.75,275.25;49,234.75;98.25,311.25;109.25,77.25;248.25,224.75
9742;112.75,55.25;129.5,99.25;147.75,221;227.75,301.75;2.75,250.25;98.25,311.25;109.25,77.25;208.5,227.5
38249;112.75,55.25;129.5,99.25;132.5,259.25;227.75,301.75;8.5,270;94.5,312.75;158.25,71;196,254.25
34102;87.5,89.25;106,74.25;143,309;227.75,301.75;8.5,270.5;122.75,310.25;158.25,71;196,254.25
28107;121.25,110.75;134,99.25;143,309;227.75,301.75;8.5,270.5;82.75,301;159.75,112.75;209,280.25
37232;119.75,111.75;134,99.25;139,304.5;227.75,301.75;11,245.25;121,304.75;161,112.75;248.75,282.25
36777;106.25,110;125,105.5;138.25,304.5;227.75,301.75;11,245.25;115.75,265.25;130.75,94.75;248.75,282.25
35678;86.75,110.25;87.5,115;138.25,304.5;227.75,301.75;9.25,243.75;81.75,251.25;154.75,106.75;248.75,282.25
13278;67.75,143.25;113.5,133.25;138.25,304.5;237.5,301.75;9.25,243.75;82.5,227.25;154.75,106.75;249.75,281
1476;40.5,145.25;83.5,135.5;138.25,304.5;237.5,301.75;9.25,243.75;54,257.75;169.75,107.25;260.25,258.5
20254;40.5,145.25;73.75,100.25;155.25,313.75;217.5,295;9.25,246.25;54,257.75;162,127;236.5,233.5
19435;1,148.5;105.25,132.75;176.25,306.25;217.5,295;42.75,234.25;43,216.5;162,127;216.75,255.5
35803;1,148.5;105.75,133.75;143.75,312;217.5,295;14.25,204.5;57.25,191.5;162,127;232,233.5
34036;1,148.5;81.5,152.75;152.25,316.75;218.75,255.25;43.75,233.75;57.25,191.5;171,108.75;231.25,232.5
7061;22.75,139.5;124,145;152.25,316.75;235.25,248.75;40.75,216.25;57.25,191.5;170.75,112;206,219.25
30446;23,177.75;126,143.75;157.25,277;264.25,256.25;40.75,216.25;57.25,192.25;161.5,104.5;206,219.25
19077;23,177.75;126,143.75;157.25,277;249.75,295.25;23.25,220;51.25,148.5;156.75,105.25;239.75,225
3294;46.5,203;101.75,141.75;159.75,273.5;241,312.25;8.5,220.5;51.25,148.5;156.75,105.25;239.25,225.75
19331;46.5,203;90.25,166.75;185.5,262.75;240,311.5;8.5,220.5;35.75,148.5;163.25,105.75;246.5,229.25
35900;10.75,193.5;92,178.75;185.5,262.75;251.75,318;11.75,219.25;35.75,148.5;163.25,105.75;225.5,259
3627;11,194;118.75,201.75;213.75,266.25;251.75,318;28.5,191.25;35.75,148.5;187.75,116.75;225.25,259.75
15279;11,194;117.5,195;197,295.5;250.75,299.75;38.75,178;59,149.25;187.75,116.75;225.25,259.75
11550;11,194;104.25,227.25;197,295.5;250.75,299.75;24.5,159.25;69.5,180.5;181.75,139.5;225.25,259.75
28691;2.75,221.25;104.25,227.25;179,310.5;250.75,299.75;28.25,160.5;86,210.5;178.75,152.75;225.25,259.75
11934;41,218.25;132.5,213;161.25,289;250.75,299.75;42.5,192;86,210.5;175.5,155.25;235.25,240
30807;50.25,256.25;103.5,201.5;174.5,305.75;264.25,309.75;42.5,192;86,210.5;176.5,148;235.25,240
3314;60.75,293;103.5,201.5;149.75,316.75;264.25,309.75;13,183.75;82.75,232;170.25,173.5;237.75,267.25
9481;94,272;108.5,235.75;159,319.25;264.25,309.75;10.25,184.5;79.25,227.75;169.75,172.75;237.75,267.25
31844;95,289.5;108.5,235.75;159,319.25;264.25,309.75;32.25,184;61,192;152.25,201.75;224.75,243.5
18294;110.75,255;121.25,259.25;159,319.25;264.25,309.75;52.25,204.5;81.5,221.75;152.75,201.75;223.75,242.5
26290;110.75,255;136.5,238.5;159,319.25;236,293.75;60,199.75;80.25,255;145.75,203.75;197.25,219.75
24596;109.5,255;136.5,238.5;165,288;236.75,293.25;49.25,170.75;102.75,261.25;145.75,203.75;230.25,216.75
14716;76.25,264.75;135.5,244.5;163.75,291;219,276.75;49.25,170.75;96.25,262.5;145.25,203.75;230.25,216.75
4463;46.25,260.25;135.5,244.5;163.75,291;219,276.75;50.75,202.25;96.5,261.75;153.25,198.75;252,201.75
