begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
6043;19,260.75;32.75,303.25;34.75,153.25;39,348;22.75,57.25;33.5,209.75;60.5,80.75;63.25,292.75
4478;19,260.75;33,329.5;34.75,153.25;36,357;18.75,65.25;48.75,192.75;53.5,46.5;63.25,292.75
4077;32,268.75;33,329.5;34.75,153.25;36,357;16.5,37.5;25.75,182.5;48.25,46.25;57.25,286.25
3248;1.25,274;13.75,360.75;31,179.5;34.75,362;9.75,4.5;25.75,182.5;34,76.25;57.25,286.25
1788;1.25,274;14.25,352;26.5,175.5;47.5,357.75;8.5,12.25;26.25,182.5;34,76.25;61,281.75
1625;1.75,274.5;29.25,367.25;47.5,180;62.25,353.25;8.5,12.25;17.25,165.25;46.75,96;61,281.75
881;1.75,274.5;2.75,359;56.25,203;62.25,353.25;21.75,49;51,170.5;58,85.75;64,259
3060;8,314.5;29.5,330;56.25,199;64.5,334.25;2.5,97.25;51,170.5;55,29;64,259
5911;25.25,304.75;37.25,332.5;56.25,199;63.25,302.25;34.5,79.25;51,170.5;55,29;64,259
2668;32,304.5;32.25,347;45.75,228;58.75,294.5;15.5,46.5;51,170.5;55,29;64,259
3724;5.5,312;32.25,347;32.5,257;57.75,294.25;8,76.25;21,209.75;40.25,24.5;64,259
5514;5.5,312;30.5,347.25;43.75,246;46.75,302.25;25.75,54;27.75,238.75;62.25,16.5;64,259
3008;5.5,312;30.5,347.25;43.75,246;50.25,303;33,95;40,247.5;62.75,17.5;64.25,290
1011;26,306.75;30.5,347.25;43.75,246;50.25,303;2.75,65.25;13.5,238.25;23.75,8;60.75,344.75
4150;32.25,311.75;40.75,335;43.75,246;66,305.75;2.75,65.25;14.75,238.5;15.75,12;46.25,357.5
1080;23.75,302;41.25,318.5;63.5,210.5;66,305.75;6.75,46.75;30.5,254.5;34.25,46.5;46.25,357.5
5529;29,288.25;30.25,314.5;63.5,210.5;66,305.75;6.75,46.75;10.5,279.75;35,8.5;36.25,326.25
3206;23.25,252.5;23.5,305.25;64,209.75;69.5,340.25;7.5,8.25;10.5,279.75;25,7.5;36.25,326.25
539;26.5,247.75;37.75,316.5;58.25,221.25;71.75,367.5;7.5,8.25;24,321.75;25,7.5;43.25,298
1139;1.5,236.5;38.75,312.25;58.25,221.25;70.25,367.5;2.5,24.75;24,321.75;30.75,7;60,285
4159;8,254.5;9.25,341;68,219.75;70.25,367.5;0.75,25.25;19.25,335;51.75,24.75;60,285
3089;2,257.25;9.25,341;34.5,252;61.75,327.25;1.5,19.25;17.75,335;32,49.5;60,285
1714;2,257.25;8,340;43.75,239;62,299.75;25,9.25;28.25,332;32,49.5;57.75,274.75
2287;2,257.25;8.75,343.5;37.5,254;64.75,288.75;25,9.25;29.75,325.25;39.5,68;65,296
3403;7.5,246.25;7.5,312.75;53.5,239.75;56.75,289.75;2,12.25;29.75,325.25;32.5,29.75;65,296
5180;21,252.25;33.25,285;37.25,252.75;65,301.75;7,11.25;29.75,325.25;32.5,29.75;38.75,265.5
2385;4.75,258.75;11.75,254;53.5,234.25;69.5,343;7,11.25;24.75,298.25;26,57.5;38.75,265.5
2548;16.5,261.75;42.5,256.25;63.5,269.25;69.5,343;10.5,2.25;24.75,298.25;45.25,90;61.75,288
2804;15.5,237;50.75,277;56.5,283.25;59,349.75;10.5,2.25;36,287;45.25,90;61.75,288
1699;2.5,252.75;34,304.75;41,257.25;65,338.25;16.5,7.5;16.75,252.75;45.25,90;61.75,288
2139;22.5,253.75;23.75,257.25;31,301.5;43.5,312.75;16.5,7.5;16.75,252.75;36.25,129.5;61.75,288
5914;12.25,241.75;22.5,256.5;30.5,330.25;45.25,282.25;16.5,7.5;16.75,252.75;36.25,151.5;61.75,299.75
255;12.25,241.75;22.5,256.5;32.25,347.5;46.25,282.75;6.25,8;6.75,249;28.75,155.75;61,297.75
1512;12.25,241.75;22.5,256.5;39.75,324;45.75,281.5;5.5,11.5;20.25,230;47.75,167.25;47.75,315.75
6323;12.25,241.75;22.5,256.5;38,315.75;45.75,281.5;14,10.5;44.25,244;56.5,206.5;65.5,291.75
699;6.5,247.75;6.5,267.5;46,343.75;58.75,304.25;14,10.5;41.5,226;43.5,226;65.5,291.75
4179;27.75,262.5;38.75,252;49.75,367.5;58.75,304.25;14,10.5;23,232;31,246.75;57.75,285.75
913;27.75,262.5;38.75,252;38.75,334;66.5,303.75;14.5,58;24.75,187.5;58.75,201.75;66.75,265.75
2909;14.75,236.25;25.75,253;50.75,353;66.5,303.75;17.75,57;24.75,187.5;45.25,190.25;62.5,284.25
6313;14.75,236.25;14.75,259.75;61,326.5;64.25,345;25.75,50.5;26.25,182.5;45.25,190.25;65.5,288.5
4459;3.75,242.25;14.25,264.25;46.75,305.5;64.25,345;0.5,49.75;32.75,165.75;45.25,190.25;67.75,263
3611;4.75,200.5;14.25,264.25;28.25,315;53,350.25;12.25,67.5;21.25,149.75;45.25,190.25;67.75,263
4407;4.75,200.5;12.25,264.25;28.25,315;44.5,344.5;6,56.25;13.75,126;57,199;63.5,290.75
5761;4.75,200.5;28.75,261.5;41,324.75;44.25,344;17.75,29.25;52.25,116;57,199;57.5,309.75
