begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
10398;23.25,251.75;42.5,321.75;48,109.5;62.75,325.75;24.75,49;29.75,299.75;34.5,148;62.25,18.5
14055;27.75,260.5;39.5,331;55.75,98.75;62.75,325.25;4.5,57;29.75,299.75;34.5,148;39.75,17.25
12859;38.25,255.5;39.5,331;61.25,80.75;61.5,325;25.75,66.5;29.75,299.75;40.75,133.75;41.25,18
14394;35,222.25;40,331;46.5,78.5;64.5,343.25;25.75,66.5;29.75,299.75;40.75,133.75;47,42.75
1329;22.75,243.5;46.75,303.5;47.75,80.25;64.5,343.25;0.5,46;30.75,324.5;36,127.25;47,42.75
7029;7.25,256.75;40.75,275;49.25,85.25;64.5,343.25;6.75,47.25;14.75,350;36,127.25;39,36.75
12863;4.75,259.75;40.75,256.75;55,99.75;64.5,343.25;6.5,43.25;14.75,350;22.25,146.25;48.25,32.25
9177;2,254.25;40.75,256.75;47.75,105.75;49.5,363.5;6.5,43.25;14.75,350;34.25,166.25;47.25,47.25
15606;2,254.25;40.75,256.75;44.25,128;48.75,361.75;9.75,48.75;14.75,350;18.25,161.75;66,76.5
15765;18.25,221;40.75,256.75;43.75,128.25;48.5,361.25;3,16;7.5,340.25;18.25,161.75;42,88
5370;31.25,180.25;40.75,256.75;43.75,128.25;59.75,326.75;8.5,48.75;8.5,340.5;38,133.75;45,78
16135;9,170.25;40.75,256.75;51.25,113.25;57.75,326.75;8.5,48.75;13.5,371.25;34.75,167.25;45,78
14352;9,170.25;45.25,246;56.5,101.75;57.75,326.75;6.5,42.75;15.5,359.25;33.5,173.25;45,78
4802;9,170.25;22.25,253.5;25.75,107.5;42.25,304;5.25,64.5;11.25,359.75;34.5,173;45,78
2971;11.5,173.25;22.25,253.5;39.75,128.25;42.25,304;9.75,50;11.5,359;40.5,150.25;43,78
1869;20.75,164.5;26,270.75;40,127.5;57.25,294.25;12,67.25;21,372.25;40.5,150.25;43,78
2822;12.75,147.5;22.25,254;28.75,146.75;57.75,294.25;20.75,67.25;21,372.25;34.75,125.75;43,78
4866;5,157;22.25,254;39.5,117.25;57.75,294.25;5.75,66;18,362;20,105;43,78
13244;20.75,138.75;22,262;32,124.75;57.75,294.25;1.75,54.5;18,362;30,98.25;34,77
9896;3,122.75;22,262;34.25,117;57.75,294.25;1.75,54.5;13,343.25;46,117;58,77.75
